date,home_score,away_score,rodada,home_team,away_team,ano,c_pontosmedio_all_home,c_pontosmedio_t1_home,c_pontosmedio_t5_home,c_pontosmedio_t10_home,c_preco_all_home,c_preco_t1_home,c_preco_t5_home,c_preco_t10_home,c_pontosmedio_all_away,c_pontosmedio_t1_away,c_pontosmedio_t5_away,c_pontosmedio_t10_away,c_preco_all_away,c_preco_t1_away,c_preco_t5_away,c_preco_t10_away,vencedor,home_vitoria,away_vitoria,home_pontos,away_pontos,home_golspro_m1,away_golspro_m1,home_golscon_m1,away_golscon_m1,home_vitoria_m1,away_vitoria_m1,home_pontos_m1,away_pontos_m1,home_golspro_m2,away_golspro_m2,home_golscon_m2,away_golscon_m2,home_vitoria_m2,away_vitoria_m2,home_pontos_m2,away_pontos_m2,home_golspro_m3,away_golspro_m3,home_golscon_m3,away_golscon_m3,home_vitoria_m3,away_vitoria_m3,home_pontos_m3,away_pontos_m3,home_golspro_m4,away_golspro_m4,home_golscon_m4,away_golscon_m4,home_vitoria_m4,away_vitoria_m4,home_pontos_m4,away_pontos_m4,home_golspro_m5,away_golspro_m5,home_golscon_m5,away_golscon_m5,home_vitoria_m5,away_vitoria_m5,home_pontos_m5,away_pontos_m5,home_golspro_a5,away_golspro_a5,home_golspro_a4,away_golspro_a4,home_golspro_a3,away_golspro_a3,home_golspro_a2,away_golspro_a2,home_golspro_a1,away_golspro_a1,home_golscon_a5,away_golscon_a5,home_golscon_a4,away_golscon_a4,home_golscon_a3,away_golscon_a3,home_golscon_a2,away_golscon_a2,home_golscon_a1,away_golscon_a1,home_vitoria_a5,away_vitoria_a5,home_vitoria_a4,away_vitoria_a4,home_vitoria_a3,away_vitoria_a3,home_vitoria_a2,away_vitoria_a2,home_vitoria_a1,away_vitoria_a1,home_pontos_a5,away_pontos_a5,home_pontos_a4,away_pontos_a4,home_pontos_a3,away_pontos_a3,home_pontos_a2,away_pontos_a2,home_pontos_a1,away_pontos_a1,c_pontosmedio_all_home_res,c_pontosmedio_t1_home_res,c_pontosmedio_t5_home_res,c_pontosmedio_t10_home_res,c_preco_all_home_res,c_preco_t1_home_res,c_preco_t5_home_res,c_preco_t10_home_res,c_pontosmedio_all_away_res,c_pontosmedio_t1_away_res,c_pontosmedio_t5_away_res,c_pontosmedio_t10_away_res,c_preco_all_away_res,c_preco_t1_away_res,c_preco_t5_away_res,c_preco_t10_away_res,preco_away_10,preco_home_10,dif_preco_10,prec_away_20,prec_home_20,home_saldo_a5,away_saldo_a5,testperc,a,train,test,p1,p2,b,placar_full,placar,placar2,previsao
07/06/2018 - 20:00,0,2,10,flu,fla,2018,2.9712,7.8600001,6.3239999,5.0889997,5.0051427,16.540001,12.34,10.045,4.0396295,10.04,8.7060003,7.6469998,5.817174,23.32,16.538,14.22,2,0,1,0,3,1,1,2,0,0,1,0,3,0,2,0,0,0,1,1,3,3,1,1,0,1,1,3,3,2,1,0,1,1,0,3,1,1,2,2,3,0,0,0,0,1.4,1.4,1.5,1.25,1.3333334,1.3333334,.5,1.5,1,1,1,.80000001,.75,.25,1,0,1,0,2,0,.40000001,.60000002,.5,.75,.33333334,1,0,1,0,1,1.4,2,1.75,2.5,1.3333334,3,.5,3,0,3,.028156508,-.30299988,-.05740013,-.20890024,-.18342981,.66300076,.092600204,-.42239994,1.2043406,1.893,2.5544002,2.5147998,.65593362,6.4719996,4.1630001,3.7270002,10,5,-5,18,8,0,0,.2,.86312765,1,,0,2,.18460652,2,2,2,
07/06/2018 - 20:00,0,2,10,flu,fla,2018,2.9712,7.8600001,6.3239999,5.0889997,5.0051427,16.540001,12.34,10.045,4.0396295,10.04,8.7060003,7.6469998,5.817174,23.32,16.538,14.22,2,0,1,0,3,1,1,2,0,0,1,0,3,0,2,0,0,0,1,1,3,3,1,1,0,1,1,3,3,2,1,0,1,1,0,3,1,1,2,2,3,0,0,0,0,1.4,1.4,1.5,1.25,1.3333334,1.3333334,.5,1.5,1,1,1,.80000001,.75,.25,1,0,1,0,2,0,.40000001,.60000002,.5,.75,.33333334,1,0,1,0,1,1.4,2,1.75,2.5,1.3333334,3,.5,3,0,3,.028156508,-.30299988,-.05740013,-.20890024,-.18342981,.66300076,.092600204,-.42239994,1.2043406,1.893,2.5544002,2.5147998,.65593362,6.4719996,4.1630001,3.7270002,10,5,-5,18,8,0,0,.2,.86312765,1,,0,2,.39444637,2,2,2,
05/06/2018 - 21:30,0,0,10,sao,int,2018,3.197037,7.1300001,5.796,5.0560002,5.9794874,12.76,12.128,10.945,3.356087,7.6799998,6.632,5.816,6.4414706,17.549999,14.474,12.355,1,0,0,1,1,1,0,3,0,0,0,0,1,3,3,2,2,1,1,3,3,3,2,1,1,1,1,3,3,1,3,0,0,1,1,3,3,2,0,2,0,0,0,1,1,2,1.6,2,2,2.3333333,1.6666666,2,1.5,1,0,1.6,.60000002,1.5,.75,2,1,2.5,1,3,0,.60000002,.60000002,.75,.75,.66666669,.66666669,.5,.5,0,0,2,2.2,2.25,2.5,2,2.3333333,1.5,2,0,1,.25399351,-1.0329999,-.58539999,-.24189976,.79091489,-3.1169999,-.11939969,.47759968,.52079809,-.46700016,.48039994,.68380004,1.2802303,.70199931,2.099,1.8619995,8,6,-2,14,10,0,0,.2,.40825787,1,,0,0,.028638352,0,4,3,
05/06/2018 - 21:30,0,0,10,sao,int,2018,3.197037,7.1300001,5.796,5.0560002,5.9794874,12.76,12.128,10.945,3.356087,7.6799998,6.632,5.816,6.4414706,17.549999,14.474,12.355,1,0,0,1,1,1,0,3,0,0,0,0,1,3,3,2,2,1,1,3,3,3,2,1,1,1,1,3,3,1,3,0,0,1,1,3,3,2,0,2,0,0,0,1,1,2,1.6,2,2,2.3333333,1.6666666,2,1.5,1,0,1.6,.60000002,1.5,.75,2,1,2.5,1,3,0,.60000002,.60000002,.75,.75,.66666669,.66666669,.5,.5,0,0,2,2.2,2.25,2.5,2,2.3333333,1.5,2,0,1,.25399351,-1.0329999,-.58539999,-.24189976,.79091489,-3.1169999,-.11939969,.47759968,.52079809,-.46700016,.48039994,.68380004,1.2802303,.70199931,2.099,1.8619995,8,6,-2,14,10,0,0,.2,.40825787,1,,0,0,.32980525,0,4,3,
05/06/2018 - 21:30,0,0,10,sao,int,2018,3.197037,7.1300001,5.796,5.0560002,5.9794874,12.76,12.128,10.945,3.356087,7.6799998,6.632,5.816,6.4414706,17.549999,14.474,12.355,1,0,0,1,1,1,0,3,0,0,0,0,1,3,3,2,2,1,1,3,3,3,2,1,1,1,1,3,3,1,3,0,0,1,1,3,3,2,0,2,0,0,0,1,1,2,1.6,2,2,2.3333333,1.6666666,2,1.5,1,0,1.6,.60000002,1.5,.75,2,1,2.5,1,3,0,.60000002,.60000002,.75,.75,.66666669,.66666669,.5,.5,0,0,2,2.2,2.25,2.5,2,2.3333333,1.5,2,0,1,.25399351,-1.0329999,-.58539999,-.24189976,.79091489,-3.1169999,-.11939969,.47759968,.52079809,-.46700016,.48039994,.68380004,1.2802303,.70199931,2.099,1.8619995,8,6,-2,14,10,0,0,.2,.40825787,1,,0,0,.087921977,0,4,3,
06/06/2018 - 21:45,0,2,10,gre,pal,2018,3.9989285,9.6999998,8.5539999,7.1659999,5.0810347,17.65,16.411999,14.602,2.8966668,6.2199998,5.6620002,5.1469998,5.8436584,15.54,13.36,11.864,2,0,1,0,3,2,3,0,1,1,1,3,3,0,0,0,1,0,0,1,0,1,2,0,3,1,0,3,0,0,3,0,0,0,1,1,3,0,0,0,1,0,0,1,0,.60000002,1.6,.75,2,1,1.6666666,1,1.5,2,3,0,1.2,0,1.25,0,1.6666666,0,1,0,1,.40000001,.40000001,.5,.5,.66666669,.33333334,.5,.5,1,1,1.8,1.2,2,1.5,2.3333333,1,2,1.5,3,3,1.0558851,1.5369998,2.1725998,1.8680999,-.10753784,1.7729995,4.1645989,4.1346002,.061377883,-1.9270002,-.48959985,.014799881,.68241811,-1.308,.98499966,1.3710003,8,10,2,13,19,0,0,.2,.13892747,1,,0,2,.91961306,2,2,2,
06/06/2018 - 21:45,0,2,10,gre,pal,2018,3.9989285,9.6999998,8.5539999,7.1659999,5.0810347,17.65,16.411999,14.602,2.8966668,6.2199998,5.6620002,5.1469998,5.8436584,15.54,13.36,11.864,2,0,1,0,3,2,3,0,1,1,1,3,3,0,0,0,1,0,0,1,0,1,2,0,3,1,0,3,0,0,3,0,0,0,1,1,3,0,0,0,1,0,0,1,0,.60000002,1.6,.75,2,1,1.6666666,1,1.5,2,3,0,1.2,0,1.25,0,1.6666666,0,1,0,1,.40000001,.40000001,.5,.5,.66666669,.33333334,.5,.5,1,1,1.8,1.2,2,1.5,2.3333333,1,2,1.5,3,3,1.0558851,1.5369998,2.1725998,1.8680999,-.10753784,1.7729995,4.1645989,4.1346002,.061377883,-1.9270002,-.48959985,.014799881,.68241811,-1.308,.98499966,1.3710003,8,10,2,13,19,0,0,.2,.13892747,1,,0,2,.78119552,2,2,2,
06/06/2018 - 21:45,0,2,10,gre,pal,2018,3.9989285,9.6999998,8.5539999,7.1659999,5.0810347,17.65,16.411999,14.602,2.8966668,6.2199998,5.6620002,5.1469998,5.8436584,15.54,13.36,11.864,2,0,1,0,3,2,3,0,1,1,1,3,3,0,0,0,1,0,0,1,0,1,2,0,3,1,0,3,0,0,3,0,0,0,1,1,3,0,0,0,1,0,0,1,0,.60000002,1.6,.75,2,1,1.6666666,1,1.5,2,3,0,1.2,0,1.25,0,1.6666666,0,1,0,1,.40000001,.40000001,.5,.5,.66666669,.33333334,.5,.5,1,1,1.8,1.2,2,1.5,2.3333333,1,2,1.5,3,3,1.0558851,1.5369998,2.1725998,1.8680999,-.10753784,1.7729995,4.1645989,4.1346002,.061377883,-1.9270002,-.48959985,.014799881,.68241811,-1.308,.98499966,1.3710003,8,10,2,13,19,0,0,.2,.13892747,1,,0,2,.19556598,2,2,2,
06/06/2018 - 21:00,1,1,10,cor,san,2018,3.2466667,7.6300001,6.6040001,5.5879998,6.4886842,21.66,15.12,12.888,2.7919047,6.3099999,5.02,4.21,6.2294288,15.79,13.564,11.489,1,0,0,1,1,0,5,1,2,0,1,0,3,1,0,0,2,1,0,3,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,3,0,1,1,1,3,3,.80000001,1.6,.75,1.25,.66666669,1.6666666,.5,2.5,0,5,.80000001,1.4,1,1.5,1,1.6666666,.5,2,1,2,.40000001,.40000001,.25,.25,.33333334,.33333334,.5,.5,0,1,1.4,1.2,1,.75,1,1,1.5,1.5,0,3,.3036232,-.53299987,.22260007,.29009983,1.3001117,5.7829995,2.8725998,2.4205995,-.043384194,-1.837,-1.1316,-.9221999,1.0681884,-1.058,1.1890001,.99600029,7,9,2,11,15,1,0,.2,.32468161,1,,1,1,.37047172,11,4,3,
06/06/2018 - 21:00,1,1,10,cor,san,2018,3.2466667,7.6300001,6.6040001,5.5879998,6.4886842,21.66,15.12,12.888,2.7919047,6.3099999,5.02,4.21,6.2294288,15.79,13.564,11.489,1,0,0,1,1,0,5,1,2,0,1,0,3,1,0,0,2,1,0,3,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,3,0,1,1,1,3,3,.80000001,1.6,.75,1.25,.66666669,1.6666666,.5,2.5,0,5,.80000001,1.4,1,1.5,1,1.6666666,.5,2,1,2,.40000001,.40000001,.25,.25,.33333334,.33333334,.5,.5,0,1,1.4,1.2,1,.75,1,1,1.5,1.5,0,3,.3036232,-.53299987,.22260007,.29009983,1.3001117,5.7829995,2.8725998,2.4205995,-.043384194,-1.837,-1.1316,-.9221999,1.0681884,-1.058,1.1890001,.99600029,7,9,2,11,15,1,0,.2,.32468161,1,,1,1,.69145066,11,4,3,
06/06/2018 - 21:00,1,1,10,cor,san,2018,3.2466667,7.6300001,6.6040001,5.5879998,6.4886842,21.66,15.12,12.888,2.7919047,6.3099999,5.02,4.21,6.2294288,15.79,13.564,11.489,1,0,0,1,1,0,5,1,2,0,1,0,3,1,0,0,2,1,0,3,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,3,0,1,1,1,3,3,.80000001,1.6,.75,1.25,.66666669,1.6666666,.5,2.5,0,5,.80000001,1.4,1,1.5,1,1.6666666,.5,2,1,2,.40000001,.40000001,.25,.25,.33333334,.33333334,.5,.5,0,1,1.4,1.2,1,.75,1,1,1.5,1.5,0,3,.3036232,-.53299987,.22260007,.29009983,1.3001117,5.7829995,2.8725998,2.4205995,-.043384194,-1.837,-1.1316,-.9221999,1.0681884,-1.058,1.1890001,.99600029,7,9,2,11,15,1,0,.2,.32468161,1,,1,1,.47811025,11,4,3,
06/06/2018 - 21:45,1,1,10,cru,vas,2018,3.6003704,10.5,8.5419998,6.6570001,6.0681081,17.700001,13.76,11.624001,2.2585714,12.65,7.2399998,5.4769998,4.6618605,17.32,10.654,9.0209999,1,0,0,1,1,1,1,0,2,1,0,3,0,1,1,0,0,1,1,3,3,1,0,0,3,1,0,3,0,0,1,1,1,0,0,0,1,2,2,0,3,1,0,3,0,1,1,.75,.75,1,.66666669,1,1,1,1,.2,1.8,.25,1.5,0,1.6666666,0,1,0,2,.80000001,.2,.75,.25,1,.33333334,1,.5,1,0,2.4000001,.80000001,2.25,1,3,1,3,1.5,3,0,.65732694,2.3369999,2.1605997,1.3591001,.87953556,1.8230007,1.5126003,1.1566005,-.5767175,4.5029998,1.0883998,.34479982,-.4993799,.47199973,-1.7209997,-1.4720001,3,7,4,5,12,0,0,.2,.19086523,1,,1,1,.69005615,11,4,3,
06/06/2018 - 21:45,1,1,10,cru,vas,2018,3.6003704,10.5,8.5419998,6.6570001,6.0681081,17.700001,13.76,11.624001,2.2585714,12.65,7.2399998,5.4769998,4.6618605,17.32,10.654,9.0209999,1,0,0,1,1,1,1,0,2,1,0,3,0,1,1,0,0,1,1,3,3,1,0,0,3,1,0,3,0,0,1,1,1,0,0,0,1,2,2,0,3,1,0,3,0,1,1,.75,.75,1,.66666669,1,1,1,1,.2,1.8,.25,1.5,0,1.6666666,0,1,0,2,.80000001,.2,.75,.25,1,.33333334,1,.5,1,0,2.4000001,.80000001,2.25,1,3,1,3,1.5,3,0,.65732694,2.3369999,2.1605997,1.3591001,.87953556,1.8230007,1.5126003,1.1566005,-.5767175,4.5029998,1.0883998,.34479982,-.4993799,.47199973,-1.7209997,-1.4720001,3,7,4,5,12,0,0,.2,.19086523,1,,1,1,.42186588,11,4,3,
